ieul_企業id,ieul_店舗id,名前,性別,年齢,都道府県,市区町村,住所全部,売却回数,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点,物件種別
710,719,竹田 さん,男性,50,神奈川県,横浜市栄区,小菅ケ谷１丁目,3回以上,2019-06-02,2019-06-02,2019-06-02,2019-07-07,2019-08-05,19800000,19800000,0,,,19800000,1,担当者の方が丁寧に説明してくれて安心出来ました。,1,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,5,電話をしたらすぐに電話口に出ていただき電話に出れない時でもLINEでやり取りしました。担当の方が休みの日や営業時間が終わった後でも連絡出来たのは安心出来てよかったです。,私の場合は担当者がとてもいい方だったのと買主が購入したい物件が私の物件と合意したのですぐに決まって良かったけど適任な不動産を探す事は大事だと思います。,店舗に行った時誰もいなくてブザーでもあればいいなと思いました。,戸建て
711,720,西岡 浩三,男性,59,福島県,南相馬市,原町区深野字荒屋敷,初めて,2019-10-10,2020-07-31,2020-07-31,2020-08-01,2020-08-02,18000000,15000000,1,2,1000000,13000000,1,建築会社に感謝,1,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,1,前に記載しましたが売却以外の見積もり金額が高く、自分で業者手配等を実施した為、ストレスを感じました。やはり担当は経験豊富な方の方が良いと思いました。,専属より数社依頼が望ましい,業者手配の見積調査をしっかりしましょう,マンション
712,721,酒井 繭子,女性,43,福島県,白河市,大信中新城字高日向,2回め,2019-06-01,2019-07-01,2019-07-01,2020-07-30,2020-05-31,10800000,10800000,1,3,1000000,9800000,2,担当者の対応と熱意,3,築年数が古いため、そもそも売却出来るのか、という点。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,5,熱心に売買活動に取り組んでいただけた。また、海外在住で、コロナウイルス感染の渡航禁止などがからみ、買主が見つかってからはいろいろなアイデアで早期に解決策を提案していただき感謝しています。,地元の状況を良く把握し、細かい動きを素早く実施できるのは、大手にはない良さだと思います。,ない,土地
713,722,田嶋 裕子,女性,56,福島県,伊達市,保原町柱田字宮後,3回以上,2019-06-01,2019-07-01,2019-07-01,2020-04-07,2020-04-07,27000000,26500000,1,6,500000,25000000,3,社歴の浅い会社は避けた方がよいと思います。,5,離婚して家が不要になった。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,1,契約するまでは、大変親切で気持ちよい業者さんだと思っておりました。しかしながら、途中経過についての連絡はほとんどなく、状況を把握するには当方からご連絡しなければならず、本当に親身になって動いて下さっているのか、全くわかりませんでした。同時に仲介を依頼していた他社の担当者は折々に状況を知らせて（問い合わせ・内見など）くださり、どうするのが良いのかについて、一緒に考えて下さっていました。エージェントはお値段を下げるというと、もう少し、○○万とかは無理ですか？と強引で、仕方なくかなり下げた途端、動き出し、即、売れました！とまだこちらが考えている最中に有無を言わせぬ態度で、私が10数年頑張って維持してきたマンションはバナナの叩き売りのように値下げして売られました。物件にはそれぞれオーナーさんの思いがあるから…といってくれた他社の担当者の方がずっと親身に相談に乗って下さいました。,最初に耳ざわりの良い事を言う業者ではなく、社歴があり、折々にいっしょに考えてくれる業者さんがよいと思います。,それぞれの物件には、それぞれの歴史や想いがあります。それをもっと考えられたほうがよいと思います。,戸建て
714,723,天野 一実,男性,42,徳島県,阿南市,内原町長谷,初めて,2019-05-01,2019-07-18,2019-07-28,2019-08-29,2019-10-24,19800000,21800000,0,,,21000000,2,担当者で決めました,1,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,5,安心して全てお任せすることができる担当者の方でした。対応は丁寧、スピーディーで、嫌な真面目さもないので色々と相談できました。サービス面も色々対応していただけました。,私の場合は、たまたまタイミングも良くすぐに決まりましたが、不動産会社選びが重要な気がします。複数の会社でたくさん話を聞き、検討して自分に合った会社を慎重に選んだ方が良いと思います。,,マンション
715,724,森重 剛,男性,53,岩手県,宮古市,磯鶏第１地割,2回め,2018-04-01,2019-06-01,2019-07-30,2019-12-31,2019-12-31,38000000,38000000,1,1,1000000,37000000,4,始めは迷っていましたが、担当者の人が丁寧に説明してくれた。,1,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,5,熱心に売買活動に取り組んでいただけた。また、始め迷っているときも強引な売買を勧めてこなかったので、気持ちのよい対応でした。また都度しっかり連絡もいただけ、不安のない対応でした。,何ヵ所か話を聞いて担当者と相性が合いそうなところに決めた方がいいと思います。,特になし,土地
716,725,今川 明美,女性,46,東京都,豊島区,池袋本町４丁目,3回以上,2020-05-01,2020-06-14,2020-07-01,2020-09-30,2020-07-30,15000000,15500000,0,,,15500000,1,親戚でもあり安心して任せれました。,2,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,売買活動にいたしましては、早目で、何度も買い主にも色々と説明も行い。納得のいくまで対応したと思います。いとこと親戚とはいえ、何社か相談を受けた結果との違いもありました。,親戚いとこでもあり問題無いと思った。,書類関係提出が、遅かった。,戸建て
717,726,北村 妙子,女性,44,愛知県,稲沢市,附島町宮前,初めて,2019-01-01,2019-06-15,2019-07-15,2019-12-22,2020-03-19,25000000,27000000,1,2,500000,26500000,2,担当者の実績と人柄で全てお任せしようと思いました。,1,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,5,とても熱心に迅速に対応していただきました。こちらの要望にも親身に答えていただきとても頼りのある担当者でした。こちらが電話に出られない時はメールで対応していただけました。,不動産売却は人生でそうあることではないので不安が付き物だと思います。最終的には自身にあった、信頼出きると感じた会社が１番だと思います。,特にありません。,マンション
718,727,和地 菜月,女性,64,宮城県,登米市,石越町南郷字馬台,2回め,2019-03-03,2019-10-01,2019-10-01,2019-11-01,2020-02-26,35000000,39800000,0,,,39500000,1,確かな実力と客の想いを汲んだ素晴らしい対応でした。,1,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,5,非常に柔和で絶妙のタイミングでの連絡やメールも電話も押し売り的なものではなくストレスなく対応することができた。確かな実力を持っていてそこも信頼できたしなによりも我々の思いをしっかり汲み取りながら進めて頂いた。,販売戦略をしっかり立ててくれてこちらの状況や想いをしっかり汲み取ってくれる業者が良いです。,無し,土地
719,728,田中 浩貴,男性,41,愛知県,岡崎市,美合町字外小渕,3回以上,2019-06-01,2019-07-01,2019-07-15,2019-09-15,2019-09-30,9800000,9800000,0,,,9800000,2,越谷物件といえばポラスで間違いないです！,2,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,5,とても親身になって相談に乗ってくれました。また販売計画もしっかり説明してくれて安心できました。伯父が亡くなったこともあり必要以上の連絡は控えてもらいとても好印象でした。,地元に強い不動産屋をみつけることをお勧めします,,戸建て
720,729,茂呂 有理,女性,59,京都府,南丹市,八木町日置平田,初めて,2019-02-01,2019-04-10,2019-03-20,2020-04-28,2020-04-29,41000000,43000000,0,,,41800000,2,イエウールに相談して良かった,2,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,5,店長がとても丁寧で人柄も良かったのと、経験や地元周辺の情報が豊富で、話を聞いてるだけでも面白いしとても勉強になりました。特にオークションがあることなど初めて聞きました。,友人にも、イエウールって良いよと勧めています,全然問題なし,マンション
721,730,松井 真希子,女性,51,新潟県,新潟市北区,松浜８丁目,2回め,2017-12-01,2018-12-15,2019-08-01,2020-03-28,2020-03-23,3300000,3300000,0,,,3300000,4,単に高値で売買出来る不動産業者を見つけて下さったから。,1,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,2,対応が遅かった。催促しなければ動かないことがあった。売買成立後半年経つものの、不備が見つかり封筒を送付するようにお願いしたが、未だ届かず。今後頼むことを控えようと考えております。,家を売却する時はいくらで売却したいのか意志をはっきりすることが重要です。,営業担当者の営業への姿勢。人間性はとても信頼するに値するものだったが話し合いの内容を忘れることがしばしばあったこと。,土地
722,731,三浦 昌男,男性,40,宮城県,白石市,斎川字下鹿ノ子沖,3回以上,2018-08-15,2019-06-09,2019-09-06,2019-11-01,2019-11-20,1800000,1800000,0,,,1800000,1,対応の早さが1番の決め手でした！,5,ずっとマンションだったので一戸建はちょっと怖いと思いました。,ネットで一括査定を試み、数社から回答が届きました。ある業者は「更地にした方が売りやすい」と建物を取り壊すことを勧める業者や、価格設定された業者の中でも1000万以上の差があり、どこを信用していいのか不安に思っていました。それを踏まえて、知り合いの不動産会社の方に相談して連絡を取りやすいところに頼むことにしました。,4,私の方が高く売却しなければいけないという状況になかったし遠くに住んでいるので不動産会社のかたの提案を素直に受け入れたことが早期売却につながったと思います。,ネットで情報を集めておきましょう,,戸建て
723,732,葛山 智美,女性,55,京都府,京都市下京区,鍵屋町高辻通麩屋町西入,初めて,2017-07-10,2017-04-10,2017-04-15,2017-07-01,2017-09-10,5000000,6500000,0,,,6500000,1,対応の素早さと的確さが信頼できました。,2,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,大手の安心感が1番大きな理由です。また担当者の方の感じも良くこちらの早く売りたいという要望に対して具体的な方法を示してくれてわかりやすかった。他の会社は1社はしつこく食い下がられ、感じが悪かった。,5,不動産購入希望者との交渉を素早く実施いただき、余分な情報をそぎ落として本当に必要な情報を適時に的確に提供いただくことができて、非常に満足しております。,不動産価格は、買い手の購入希望価格によって決まります。市場価格はあくまでも目安であることを意識しておいた方が良いと思います。,,マンション
724,733,坪井 澄恵,女性,62,石川県,金沢市,岩出町ハ,2回め,2019-04-01,2019-04-13,2019-04-20,2020-02-19,2020-08-15,15000000,10000000,1,2,5000000,9000000,2,前向きに頑張れば、難しいことも超えられるのだと実感しました！,2,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,最終的には担当者の人間性だと思います。あまり口が上手すぎるのも自社の利益ばかり考えてるようで、また大手もなんか良くないとも聞いたから、地元の事をわかってる不動産会社を選んだ。,5,連絡が取りやすく、何でも答えてくれる。　個人の会社なので柔軟でフットワーク軽く、親身になってくれる。最初に何社か査定を依頼し、違う会社で活動をしていたけど、たまに相談にのってくれたりアドバイスも頂ける時があった。ちょうど諦めるかのような値下げを提案された時だったので、とても心強く、次は絶対にここにお願いをしようと思った。,私の地域は地元の人が購入することが多いので地元密着型が良かったけど、他の場所や一般的な条件や物件であれば、いろんな会社が対応しやすいと思う。どこにしても丁寧な説明で安心させてくれて、難しい内容があっても可能性を信じて頑張っていく意欲と、こちらの考えを大切にした上での対応をしてくれてると感じるところに任せると良いと思いました。,そのままの良さで良いと思います。,土地
725,734,長浜 哲也,男性,44,京都府,亀岡市,馬路町部々ケ谷,3回以上,2019-06-01,2019-07-01,2019-07-01,2019-11-28,2019-11-28,19000000,19000000,0,,,19000000,1,対応が早かったのがとても良かったです。,1,住み替えの為に売却する事を考えましたが、築30年以上のマンションだったので本当に売れるのか不安でした。加えて、最初に冷やかしの人が見学にきていたので、不安が増していきました。,最初のレスポンスが早かったことと、地元の情報を多く持っていそうな印象を受けたことが、不動産会社を決める決め手となりました。最終的には満足のいく取引になりましたので、不満はありません。,4,最初電話で対応して頂いた際にあまりやる気がないような感じだったが実際に見に来ていただいた時からはスムーズに進んでいったので安心してまかせることができました。,うちの場合は建てた会社の関連会社だったのでやはりそういう所へ頼むのも一つの手だと思います。,特にありません。,戸建て
726,735,清水 英之,男性,51,大阪府,吹田市,高野台３丁目,初めて,2020-01-01,2020-02-15,2020-03-14,2020-05-31,2020-05-31,9000000,10000000,0,,,10000000,4,誠実な対応のいい担当者に恵まれました。,1,少し居住年数がある家だったので売れるかどうか不安でした。,全国展開している不動産業者であったことは不安が抑えられるポイントとなった。販売実績もしっかりあり、信頼できる根拠の説明がきちんとしていることや丁寧な印象が決め手となった。,5,最初のアポイントの連絡もスムーズで、必要な連絡、確認が的確でした。言葉遣いや服装もきちんとしていらっしゃってて、最後まで嫌な気持ち１つすることなく、契約できました。最後まで責任をもってしっかり対応いただけて、大変いい担当者にめぐりあえて、感謝しかありませんでした。,人それぞれなのでアドバイスはありませんが、いい担当者がいい契約の１番の近道だと思います。,ありません。,マンション
727,736,荒木 将仁,男性,53,愛知県,岩倉市,本町神明西,2回め,2019-08-01,2019-08-01,2019-09-02,2019-10-30,2019-10-31,2300000,2300000,1,3,1300000,1000000,2,対応の早さと丁寧な方だったので、決めました。,2,家も古く、周りの環境が変わっていました。隣の家との境界の確認の関係で、建て替えなどの場合の補償も含めて、リノベで行くのかなど、どのような方法が有効かを知りたいと考えていました。,最初、三社に声をかけてみた。最初の印象は丁寧でどこも変わらないなと思ったらその後の丁寧な対応や、こちらの都合への対応などに後から大きな差が出た。,4,熱心に売買活動して頂けた。報告書もポストに入っていてどのような状況かも分かりやすく、必要以上の電話もなく、家から近いので安心し て任せる事ができました。,1社ではなく何社かに相談した方がよかったかな？とおもいます。,,土地
728,737,貴田 久,男性,52,新潟県,新潟市中央区,海辺町二番町,3回以上,2019-10-01,2020-06-01,2020-03-15,2020-06-25,2020-06-30,17000000,17500000,0,,,17000000,4,売却期間の早さがよかったです。,3,身内の資産整理で売却を検討していました。生前贈与絡みは初めてだったので不安が多く、詳しく教えてほしいと思いました。またすぐに売れるのかも不安でした。,たまたま見に行った物件の担当者だった方なのですが、その時無理に勧めることなくもっと違う物件の方が良いのではないかと誠実に対応してくれた。新しい賃貸住宅も違う会社が窓口だったがこの方にお願いした。人気の物件だったので二次募集がないといわれていた中、粘り強く確認して空きを見つけてくれた。,4,売買活動中はメールでのやり取りで時間を取られることがなく良かったと思います。ただ、たまにですがなかなか返信がこないこともあり少しヤキモキすることもありましたが、他の部分で満足できたのでそれ程ストレスなことではありませんでした。,しつこくない連絡やその人柄を良く判断して決めるといいと思います。,たまにメールの返信が遅くなるところがありました。,戸建て
729,738,小野 仁美,女性,59,沖縄県,浦添市,伊祖４丁目,初めて,1984-11-10,1984-12-15,1984-12-15,1984-12-18,1985-02-15,10000000,12500000,0,,,12500000,4,やはり便利な立地であり担当者の方のスムーズな行動で問題なく安心できました。,1,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,対応が早かったことと、査定の内容が詳しく書かれていたことからお会いしました。信頼できる方でしたのですぐ契約しました。,4,熱心に売却のために動いてくださいました。他の業者さんや個人的に欲しいと言う方も現れましたが問題も無くスムーズに運んだと思います。た。また近所の人にも知れることなくスムーズに必要以上の電話連絡も無くよかったです。,やはり信頼のおける知名度の高く人気のある不動産屋さんで、担当者の人柄も左右すると思います。,購入した物件の不動産会社でしたから満足しています。,マンション
730,739,佐藤 大二,男性,65,京都府,京都市上京区,北町御前通妙心寺道上る西入,2回め,2019-05-01,2019-06-01,2019-06-03,2019-11-30,2019-11-30,35000000,35500000,0,,,35500000,1,不動産売却は営業マンのスキルと不動産会社の視野の広さだと思う。,1,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,5,対応も素晴らしいのはもちろん、売主にとって大きな不安感を解消しながら売却していただいたので本当に感謝です。また売ることになったら絶対にまたお願いします。,この人に任せたいと思える営業マンに出会うことと信頼する事、後は売買価格に無理がないこと。,,土地
731,740,太田 のり子,女性,61,岩手県,奥州市,江刺区広瀬字早稲田,3回以上,2019-05-01,2019-06-10,2019-06-10,2019-06-10,2019-09-30,16700000,16700000,0,,,16700000,3,金額的に満足できるものだったので、早く売却できて良かった。,5,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,3,対応はとにかく早く、時間を掛けず売却できましたが、交渉相手の情報が少なく、信頼関係を築く時間もなかったため、本当に信頼できる業者か、かなり不安はあったので。,業者によっては金額にかなりの差があるので少なくとも数社の話を聞いた方が良いと思います。,見た目が胡散臭い,戸建て
732,741,久保田 英里,女性,57,秋田県,能代市,落合字上釜谷地,初めて,2019-05-22,2019-10-02,2019-11-13,2020-04-04,2020-04-25,14000000,14000000,1,4,4000000,10000000,4,田舎の物件は地元密着が良いです。,2,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,4,マメに状況を連絡していただけたので、安心してお任せすることができました。コロナ禍で引き渡しのために帰省することが出来ない状況だったので、そこも柔軟に対応していただきました。,個人の事情によって業者を選択すべきだと思います。,,マンション
733,742,宮本 俊浩,男性,40,福島県,本宮市,和田字大夏張,2回め,2019-07-13,2020-06-07,2020-06-07,2020-07-05,2020-07-05,1000000,1800000,0,,,1200000,1,とにかく真摯に向き合ってくださった。,5,築年数が古いため、そもそも売却出来るのか、という点。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,5,田舎の安い土地であったのですが、熱心に売買活動に行ってくださりまた連絡も定期的にくださり余計なことは巖ないしかなり共感してくださりありがたいと、思いました。,おのおのの好みにもよるがわたしは少額でも真摯に向き合ってくださった。ことが  良いと思います,特になし,土地
734,743,百瀬 哲也,男性,42,愛知県,一宮市,文京１丁目,3回以上,2019-06-01,2020-03-22,2020-04-06,2020-05-26,2020-06-10,6500000,6500000,0,,,6500000,2,迅速丁寧で人柄の良い対応、こちらの不動産会社を是非オススメします。,1,離婚して家が不要になった。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,5,最初の現地査定の時から、担当の方には色々わからないことなど、丁寧にわかり易く説明親身になって対応いただき、速やかに段取り良く売却が進み心より感謝しております。,知名度だけではなく、実際に担当者や店舗を見てから決める,特に無し,戸建て
735,744,江良 宏司,男性,60,秋田県,鹿角市,八幡平字松館,初めて,2019-01-01,2019-10-01,2019-10-01,2019-12-01,2020-02-01,38000000,38000000,0,,,32000000,2,担当者が丁寧に説明してくれて、途中経過説明も適切で、安心できた。,1,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,4,電話とメールで迅速な対応であった。上記の通り、実質3週間で売却は決まった。諸問題の解決については、買主との交渉について、迅速に対応したいた。,私は３つの会社と相談をしました。複数の会社の比較をしたほうがいいと思います。,,マンション
736,745,田窪 武士,男性,62,熊本県,熊本市中央区,大江５丁目,2回め,2019-01-20,2019-08-07,2019-08-07,2019-11-15,2019-11-15,21800000,17800000,0,,,17800000,2,不安だらけでしたが、信頼できる担当者にあたり良かったです。,5,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,4,初めての売却なので、とても不安でしたが、担当者の方も初めての契約だったらしく、ひとつひとつゆっくり勉強しながらの対応で、それが、かえって信頼できるかたちになって、安心してお付き合いさせていただきました。,査定が相場なのかもしれませんが、急がないならちょっと高めての設定から始められてもよいのではと。,何回も確認されたのが、また？ってところが多く、ちょっと面倒でした。,土地
737,746,木下 昭,男性,46,千葉県,柏市,高南台３丁目,3回以上,2017-06-24,2018-07-22,2018-07-19,2019-11-22,2019-11-22,5000000,4900000,0,,,4900000,2,いまのままの姿勢を貫いてください。,5,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,名乗りを上げてから1度家まで訪問していただき顔を見せていただき、その後はメールのやり取りで、いろいろと教えていただきまたこちらを安心させていただきました頂き,信頼できる不動産会社を選ぶこと,いまのままの姿勢を貫いてください。,戸建て
738,747,小田原 亮,男性,52,福島県,福島市,上鳥渡字堤下,初めて,2019-02-22,2019-06-26,2020-02-10,2020-08-14,2020-08-14,27800000,29800000,1,1,2000000,27700000,1,納得安心できる担当者に任せることが大切でした。,1,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,4,担当者の方の知識が豊富で相談しやすい雰囲気の方だったので、疑問に思っている点を気軽に相談することができ、納得するまで説明をしていただけました。,どうしても高く売却したいですが、相場をきちんと見極めるべきだなと思いました。,,マンション
739,748,山崎 大輔,男性,63,愛知県,名古屋市緑区,諸の木３丁目,2回め,2019-10-01,2019-10-01,2019-10-02,2019-12-03,2019-12-26,39000000,39000000,0,,,39000000,1,対応の速さと親切さが決めてでした！そして納得の価格！,3,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,5,初めの好印象から変わることなく終始丁寧に対応してもらえました。売却中の家の管理もしっかりしてもらえて、助かりました。もう一度売却する機会があればまた頼みたいと思います。,いろいろな業者の方がおられます。少しでも変だなと思った人には任せず、納得いく人に出会えるまで頑張りましょう。数ヶ月のお付き合いになるので。,特にありません。,土地
740,749,原 勝之,その他・不明,63,愛知県,豊川市,麻生田町川添,3回以上,2018-10-01,2019-12-20,2019-07-31,2020-01-31,2020-02-29,39800000,39800000,0,,,39800000,3,信頼できる業者を選ぶのが一番！,1,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,5,丁寧な対応をしていただいたので満足しています。やはり知名度のある不動産仲介業者は、信頼度も高いのかなと感じました。契約後の保証もしっかりしていたので、安心して任せられました。,信頼できる業者をいかに見つけるかが、満足できる売却につながる一番のポイントだと思います。担当者によってかなり違うので、この業者と決めてかからずに、電話の対応、会ったときの印象等で決めるのが良いかと思います。,特にありません。,戸建て
741,750,中西 純子,女性,46,埼玉県,ふじみ野市,北野２丁目,初めて,2019-09-02,2019-06-24,2019-09-02,2020-03-25,2020-03-31,7000000,7000000,0,,,7000000,3,担当者の対応が丁寧で優しく、安心に任せることができた。,6,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,5,熱心に売買活動に取り組んでくれた。また、必要以上に電話連絡もなく、ストレスなく対応してもらった。他の不動産屋は電話すらないところもあった。担当の鈴木さんは、我々の立場に立った対応で嬉しかった。,大手がいいとは限りません。売り手、買い手の立場に立ってくれるかをしっかりと見極める事が大切。調子の良い担当者は要注意。,特になし,マンション
742,751,望月 豊,男性,49,埼玉県,さいたま市大宮区,東町２丁目,2回め,2019-03-01,2019-09-01,2019-09-01,2020-02-29,2020-02-29,55000000,55000000,0,,,55000000,3,はじめての不動産売却で不担当者の説明がわかりやすく安心して任せることができた。,6,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,数社の不動産会社が見積もりを持ってきたが、ウェーブハウスの査定額を見せると、うちではその額ではできないという会社がおおかったが、ウェーブハウスの担当者はこの額で売ると自信たっぷりに断言してくれた。非常に頼もしかった。もう一社熱心に希望額での売却を,イエウールのように複数の不動産会社に一括査定するほうが希望が通りやすいと実感した。,特になし,土地
